196	242	3	881250949
186	302	3	891717742
62	257	2	879372434
200	222	5	876042340
194	274	2	879539794
119	392	4	886176814
308	1	4	887736532
63	277	4	875747401
160	234	5	876861185
225	193	4	879539727
97	194	3	884238860
157	274	4	886890835
181	1081	1	878962623
10	16	4	877888877
201	979	2	884114233
276	564	3	874791805
99	4	5	886519097
251	100	4	886271884
81	432	2	876535131
260	322	4	890618898
59	196	5	888205088
20	288	1	879667584
138	26	5	879024232
167	232	1	892738341
60	427	5	883326620
57	304	5	883698581
246	416	3	884923047
178	248	4	882823954
254	1444	3	886475558
293	5	3	888906576
127	229	5	884364867
225	237	5	879539643
299	229	3	878192429
276	54	3	874791025
267	518	5	878971773
11	111	4	891903862
95	625	4	888954412
87	1016	4	879876194
279	154	5	875296291
145	275	2	885557505
62	498	4	879373848
135	23	4	879857765
32	294	3	883709863
90	382	5	891383835
286	208	4	877531942
166	328	5	886397722
198	498	3	884207492
168	151	5	884288058
90	648	4	891384754
271	346	4	885844430
62	21	3	879373460
279	832	3	881375854
128	485	3	879966895
298	317	4	884182806
44	195	5	878347874
264	200	5	886122352
194	385	2	879524643
222	750	5	883815120
250	264	3	878089182
41	265	3	890687042
82	135	3	878769629
262	1147	4	879791710
216	658	3	880245029
250	140	3	878092059
286	379	5	877533771
7	479	4	891352010
13	836	2	882139746
13	272	4	884538403
305	427	5	886323090
95	787	2	888954930
57	419	3	883698454
269	504	4	891449922
160	135	4	876860807
99	268	3	885678247
10	486	4	877886846
259	117	4	874724988
213	273	5	878870987
90	98	5	891383204
49	559	2	888067405
42	794	3	881108425
155	323	2	879371261
268	231	4	875744136
5	2	3	875636053
43	137	4	875975656
279	1336	1	875298353
298	281	3	884183336
66	298	4	883601324
18	443	3	880130193
99	79	4	885680138
13	98	4	881515011
26	258	3	891347949
222	755	4	878183481
200	673	5	884128554
119	328	4	876923913
276	322	3	874786392
94	1217	3	891723086
160	719	3	876857977
26	930	2	891385985
130	216	4	875216545
92	1079	3	886443455
256	452	4	882164999
72	48	4	880036718
56	755	3	892910207
13	360	4	882140926
15	405	2	879455957
232	483	5	888549622
224	26	3	888104153
181	220	4	878962392
259	255	4	874724710
305	471	4	886323648
148	408	5	877399018
58	1098	4	884304936
90	347	4	891383319
272	178	5	879455113
269	127	4	891446165
54	106	3	880937882
303	69	5	879467542
194	1028	2	879541148
87	554	4	879875940
294	109	4	877819599
200	318	5	884128458
229	328	1	891632142
178	568	4	882826555
92	172	4	875653271
70	746	3	884150257
63	242	3	875747190
28	201	3	881961671
279	68	4	875307407
299	1018	3	889502324
194	54	3	879525876
119	237	5	874775038
233	202	5	879394264
83	623	4	880308578
214	334	3	891542540
192	476	2	881368243
100	344	4	891374868
268	145	1	875744501
301	56	4	882076587
234	141	3	892334609
83	576	4	880308755
38	153	5	892430369
7	382	4	891352093
264	813	4	886122952
201	146	1	884140579
85	507	4	879456199
269	367	3	891450023
193	96	1	889124507
130	1014	3	876250718
275	98	4	875155140
189	520	5	893265380
219	82	1	889452455
119	222	5	874775311
158	177	4	880134407
279	501	3	875308843
201	695	1	884140115
201	767	4	884114505
296	705	5	884197193
42	546	3	881105817
33	872	3	891964230
301	554	3	882078830
16	64	5	877720297
154	357	4	879138713
77	484	5	884733766
296	508	5	884196584
302	303	2	879436785
244	673	3	880606667
13	215	5	882140588
16	705	5	877722736
145	15	2	875270655
181	1295	1	878961781
184	153	3	889911285
1	33	4	878542699
1	160	4	875072547
184	321	5	889906967
54	595	3	880937813
301	227	3	882077222
112	903	1	892440172
82	183	3	878769848
303	134	5	879467959
133	751	3	890588547
215	212	2	891435680
13	56	5	881515011
240	879	3	885775745
294	271	5	889241426
90	1086	4	891384424
308	649	4	887739292
59	951	3	888206409
200	96	5	884129409
16	197	5	877726146
61	678	3	892302309
271	709	3	885849325
142	169	5	888640356
275	597	3	876197678
222	151	3	878182109
87	40	3	879876917
177	333	4	880130397
207	1115	2	879664906
271	378	4	885849447
305	425	4	886324486
49	959	2	888068912
130	1017	3	874953895
197	96	5	891409839
308	640	4	887737036
268	62	3	875310824
272	12	5	879455254
296	20	5	884196921
180	462	5	877544218
269	845	1	891456255
234	1451	3	892078343
275	405	2	876197645
178	731	4	882827532
263	176	5	891299752
244	186	3	880605697
83	78	2	880309089
151	197	5	879528710
254	436	2	886474216
109	631	3	880579371
249	188	4	879641067
301	604	4	882075994
92	501	2	875653665
293	135	5	888905550
213	173	5	878955442
160	460	2	876861185
13	498	4	882139901
125	163	5	879454956
174	315	5	886432749
114	505	3	881260203
213	515	4	878870518
23	196	2	874786926
181	279	1	878962955
291	80	4	875086354
60	60	5	883327734
181	325	2	878961814
119	407	3	887038665
287	1	5	875334088
203	471	4	880434463
213	176	4	878956338
286	288	5	875806672
99	111	1	885678886
11	558	3	891904214
65	47	2	879216672
295	194	4	879517412
250	596	5	878089921
137	144	5	881433689
257	137	4	882049932
111	328	4	891679939
215	211	4	891436202
181	938	1	878961586
189	1060	5	893264301
1	20	4	887431883
303	404	4	879468375
303	252	3	879544791
115	1067	4	881171009
7	430	3	891352178
116	350	3	886977926
263	419	5	891299514
221	475	4	875244204
72	182	5	880036515
25	357	4	885852757
290	50	5	880473582
189	526	4	893266205
299	303	3	877618584
63	762	3	875747688
11	732	3	891904596
8	550	3	879362356
307	174	4	879283480
303	200	4	879468459
256	849	2	882164603
72	54	3	880036854
224	77	4	888103872
94	184	2	891720862
281	338	2	881200457
130	109	3	874953794
128	371	1	879966954
94	720	1	891723593
182	845	3	885613067
129	873	1	883245452
254	229	4	886474580
276	57	3	874787526
21	370	1	874951293
276	142	3	874792945
268	824	2	876518557
109	8	3	880572642
230	680	4	880484286
192	1061	4	881368891
90	900	4	891382309
90	289	3	891382310
157	25	3	886890787
305	71	3	886323684
279	1497	2	890780576
301	33	4	882078228
94	744	4	891721462
130	642	4	875216933
26	1015	3	891352136
56	121	5	892679480
82	508	2	884714249
62	12	4	879373613
152	301	3	880147407
79	303	4	891271203
138	484	4	879024127
75	284	2	884050393
269	198	4	891447062
230	742	5	880485043
269	507	4	891448800
245	1028	5	888513447
295	961	5	879519556
271	1028	2	885848102
69	240	3	882126156
10	7	4	877892210
279	399	4	875313859
78	323	1	879633567
118	200	5	875384647
171	292	4	891034835
107	333	3	891264267
13	901	1	883670672
189	56	5	893265263
226	242	5	883888671
62	1016	4	879373008
276	417	4	874792907
222	26	3	878183043
280	631	5	891700751
56	71	4	892683275
173	289	4	877556988
280	540	3	891702304
244	381	4	880604077
150	293	4	878746946
95	1217	3	880572658
97	222	5	884238887
109	127	2	880563471
264	655	4	886123530
207	13	3	875506839
42	588	5	881108147
246	409	2	884923372
87	367	4	879876702
256	127	4	882164406
92	794	3	875654798
292	661	5	881105561
246	665	4	884922831
188	692	5	875072583
5	439	1	878844423
236	632	3	890116254
144	709	4	888105940
90	1198	5	891383866
48	609	4	879434819
5	225	2	875635723
311	432	4	884365485
276	188	4	874792547
222	173	5	878183043
72	866	4	880035887
165	216	4	879525778
200	11	5	884129542
208	216	5	883108324
263	96	4	891298336
134	323	4	891732335
2	292	4	888550774
288	593	2	886892127
286	153	5	877531406
234	318	4	892078890
239	1070	5	889179032
56	449	5	892679308
280	1049	2	891702486
192	948	3	881368302
122	509	4	879270511
262	931	2	879790874
295	39	4	879518279
201	1100	4	884112800
93	820	3	888705966
159	1028	5	880557539
158	665	2	880134532
13	823	5	882397833
217	2	3	889069782
222	796	4	878183684
267	121	3	878970681
126	294	3	887855087
181	1060	1	878962675
43	120	4	884029430
42	44	3	881108548
268	21	3	875742822
29	245	3	882820803
236	57	5	890116575
168	866	5	884287927
235	230	4	889655162
102	70	3	888803537
44	660	5	878347915
118	774	5	875385198
49	1003	2	888068651
62	68	1	879374969
77	474	5	884732407
58	1099	2	892243079
56	1047	4	892911290
197	688	1	891409564
286	99	4	878141681
181	1288	1	878962349
224	69	4	888082495
221	1010	3	875246662
66	877	1	883601089
7	648	5	891351653
44	449	5	883613334
167	659	4	892738277
108	100	4	879879720
14	269	4	892242403
311	179	2	884365357
92	121	5	875640679
21	440	1	874951798
244	550	1	880602264
44	443	5	878348289
244	183	4	880606043
1	265	4	878542441
270	25	5	876954456
299	387	2	889502756
239	272	5	889181247
178	385	4	882826982
188	143	5	875072674
276	294	4	874786366
207	845	3	881681663
305	654	4	886323937
64	736	4	889739212
191	751	3	891560753
69	268	5	882027109
58	9	4	884304328
194	152	3	879549996
59	323	4	888206809
311	654	3	884365075
43	203	4	883955224
79	50	4	891271545
303	161	5	879468547
104	301	2	888442275
279	122	1	875297433
42	625	3	881108873
109	475	1	880563641
244	310	3	880601905
6	301	2	883600406
111	301	4	891680028
18	408	5	880129628
25	222	4	885852817
110	944	3	886989501
68	237	5	876974133
83	215	4	880307940
